,precision,recall,f1-score,support
backdoor,1.0,1.0,1.0,3742.0
ddos,0.9904330312185297,0.983745936484121,0.9870781583239242,3999.0
dos,0.9933563646027106,0.9839431429323506,0.9886273472626289,3799.0
injection,0.984728938661237,0.9689456548960681,0.9767735420348397,3993.0
mitm,0.7612612612612613,0.8125,0.786046511627907,208.0
normal,0.9966737942504158,0.9978591817316841,0.9972661357423036,8408.0
password,0.9964556962025316,0.9909365558912386,0.9936884625094673,3972.0
ransomware,0.9989830508474576,1.0,0.9994912667458029,2947.0
scanning,0.9868746904408123,0.99625,0.9915401841254043,4000.0
xss,0.9607843137254902,0.9874463164849686,0.9739328771586836,3027.0
accuracy,0.9896049350308439,0.9896049350308439,0.9896049350308439,0.9896049350308439
macro avg,0.9669551141210446,0.972162678842043,0.969444448553096,38095.0
weighted avg,0.9897524276943688,0.9896049350308439,0.9896463009928217,38095.0
