feature,mean_abs_shap
num__src_bytes,0.57182235
num__dst_ip_bytes,0.54941463
num__src_pkts,0.33547294
num__duration,0.2863316
cat__service_http,0.2562283
cat__proto_tcp,0.24377865
num__src_port,0.22657445
num__src_ip_bytes,0.2241585
num__dst_port,0.16894
cat__conn_state_SF,0.15584311
cat__dns_RA_F,0.14742607
cat__service_ssl,0.10326371
num__dst_pkts,0.09603024
num__dst_bytes,0.08974847
cat__proto_icmp,0.0756962
cat__conn_state_REJ,0.053450298
num__dns_qclass,0.050839562
cat__dns_RA_T,0.03898472
cat__service_dns,0.0323369
num__dns_rcode,0.03001991
cat__proto_udp,0.029100712
cat__conn_state_S0,0.021703774
num__dns_qtype,0.020328015
cat__conn_state_RSTO,0.020261751
cat__conn_state_SHR,0.020007512
cat__dns_rejected_F,0.019172816
cat__conn_state_RSTR,0.01072907
num__missed_bytes,0.009927905
cat__conn_state_S1,0.0061114044
cat__dns_RD_F,0.0031284979
cat__conn_state_RSTOS0,0.002914479
cat__service_ftp,0.002828737
cat__conn_state_S3,0.00274363
cat__dns_rejected_T,0.0025971914
cat__ssl_established_F,0.0021566763
cat__conn_state_OTH,0.0018390717
cat__conn_state_SH,0.0014591884
cat__dns_RD_T,0.00085206475
cat__ssl_resumed_F,0.0002828694
cat__ssl_resumed_T,0.00018132084
cat__ssl_established_T,0.00013286826
cat__conn_state_S2,0.00010319478
num__http_response_body_len,0.0
num__http_status_code,0.0
num__http_request_body_len,0.0
cat__service_dce_rpc,0.0
cat__service_smb,0.0
cat__service_gssapi,0.0
cat__service_smb;gssapi,0.0
cat__conn_state_RSTRH,0.0
cat__dns_AA_F,0.0
cat__dns_AA_T,0.0
cat__ssl_version_TLSv10,0.0
cat__ssl_version_TLSv12,0.0
cat__ssl_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,0.0
cat__ssl_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,0.0
cat__ssl_cipher_TLS_AES_128_GCM_SHA256,0.0
cat__ssl_version_TLSv13,0.0
cat__ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,0.0
cat__ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,0.0
cat__http_trans_depth_1,0.0
cat__http_trans_depth_10,0.0
cat__http_trans_depth_2,0.0
cat__http_trans_depth_3,0.0
cat__http_trans_depth_4,0.0
cat__http_trans_depth_5,0.0
cat__http_trans_depth_7,0.0
cat__http_trans_depth_8,0.0
cat__http_trans_depth_9,0.0
cat__http_method_GET,0.0
cat__http_method_HEAD,0.0
cat__http_method_POST,0.0
cat__http_orig_mime_types_application/soap+xml,0.0
cat__http_orig_mime_types_application/xml,0.0
cat__http_resp_mime_types_application/ocsp-response,0.0
cat__http_resp_mime_types_application/vnd.ms-cab-compressed,0.0
cat__http_resp_mime_types_application/xml,0.0
cat__http_resp_mime_types_image/jpeg,0.0
cat__http_resp_mime_types_image/png,0.0
cat__http_resp_mime_types_text/html,0.0
cat__http_resp_mime_types_text/json,0.0
cat__http_resp_mime_types_text/plain,0.0
cat__weird_name_DNS_RR_unknown_type,0.0
cat__weird_name_above_hole_data_without_any_acks,0.0
cat__weird_name_active_connection_reuse,0.0
cat__weird_name_bad_TCP_checksum,0.0
cat__weird_name_bad_UDP_checksum,0.0
cat__weird_name_connection_originator_SYN_ack,0.0
cat__weird_name_data_before_established,0.0
cat__weird_name_dnp3_corrupt_header_checksum,0.0
cat__weird_name_inappropriate_FIN,0.0
cat__weird_name_possible_split_routing,0.0
cat__weird_addl_46,0.0
cat__weird_addl_48,0.0
