model,accuracy,precision,recall,f1,roc_auc,pr_auc,inference_ms_per_1k,model_size_mb,fold,task
Logistic Regression,0.9849586559915999,0.9907295037756203,0.9899619362010308,0.9903455712624892,0.9946305350363838,0.9983526817267135,46.101669990457594,0.015558242797851562,1,TON_IoT binary
Logistic Regression,0.9847486546790918,0.9906277391949295,0.9897935123117862,0.990210450049706,0.9943112467704198,0.9980615116908558,41.53352996800095,0.015893936157226562,2,TON_IoT binary
Logistic Regression,0.9845649035306471,0.9904932070255874,0.9896924579782397,0.9900926705981465,0.9943997614566463,0.9980641259138319,40.842399979010224,0.015893936157226562,3,TON_IoT binary
Logistic Regression,0.985509909436934,0.9911993795731193,0.990197729645973,0.9906983014289565,0.9947582070749763,0.9981761671501175,54.57220000680536,0.015680313110351562,4,TON_IoT binary
Logistic Regression,0.9859032918569853,0.9912035320683495,0.9907026881358216,0.9909530468184039,0.9946707548202105,0.9983995060084112,45.29215998481959,0.015756607055664062,5,TON_IoT binary
Decision Tree,0.9919674497965613,0.9923914865091336,0.9973389025499377,0.994859043714929,0.9867897860253811,0.9926916777800923,42.319449968636036,0.019184112548828125,1,TON_IoT binary
Decision Tree,0.9914686966793542,0.9920235940746699,0.9970694243271465,0.994540109197816,0.9864482769434876,0.9925195499113215,40.42177996598184,0.019809722900390625,2,TON_IoT binary
Decision Tree,0.9915474471715449,0.9918266170904096,0.9973725873277866,0.994591871011085,0.9855146961942323,0.9919687411617386,40.319349989295006,0.019504547119140625,3,TON_IoT binary
Decision Tree,0.9916261976637354,0.9921571256200563,0.9971367938828444,0.9946407271138887,0.9864069161387168,0.992497982685709,40.77316999901086,0.019290924072265625,4,TON_IoT binary
Decision Tree,0.9915472252848218,0.9916945746818486,0.9975072424711986,0.9945924159473348,0.9864654847120764,0.9924477786553992,40.750830015167594,0.019367218017578125,5,TON_IoT binary
Random Forest,0.9989237432733955,0.999225380573892,0.99939367399872,0.9993095202007444,0.9999648589404254,0.9999899076849924,207.30779999867082,22.722208976745605,1,TON_IoT binary
Random Forest,0.9986087413046332,0.999090541632983,0.9991241957759288,0.9991073684210526,0.9999886862734723,0.9999967842536617,216.6687499731779,22.35053539276123,2,TON_IoT binary
Random Forest,0.9985824911405696,0.9988888514764807,0.9992926196651734,0.9990906947765467,0.999978482285701,0.9999936279292307,203.4018299775198,21.762598991394043,3,TON_IoT binary
Random Forest,0.9987924924530779,0.9987212706531615,0.9997305217772089,0.9992256413709515,0.9999878229207575,0.999996542295991,193.78222001250833,21.69983959197998,4,TON_IoT binary
Random Forest,0.9990024675801964,0.9991918103448276,0.9995283972242808,0.9993600754437372,0.9999919671438314,0.9999977111714429,208.51902004797012,22.591471672058105,5,TON_IoT binary
XGBoost,0.9988712429452684,0.9991580790732134,0.99939367399872,0.999275862649669,0.9999845738300301,0.9999956459925152,88.50015001371503,0.7709074020385742,1,TON_IoT binary
XGBoost,0.9985562409765061,0.9990232401481981,0.9991241957759288,0.9990737154116914,0.999985801753961,0.9999959791494833,87.29291995987296,0.77447509765625,2,TON_IoT binary
XGBoost,0.9982937393358708,0.9985861442132903,0.9992252501094755,0.9989055949354301,0.9999649771256,0.999989920346099,81.72180999536067,0.7582588195800781,3,TON_IoT binary
XGBoost,0.9985562409765061,0.9987544603783748,0.99939367399872,0.9990739649453639,0.9999624892275216,0.9999899287976828,88.4403299773112,0.7631807327270508,4,TON_IoT binary
XGBoost,0.9987399590486691,0.9991242842707982,0.9992589099238698,0.9991915925626516,0.9999858433430067,0.9999959854596414,84.16258993092924,0.7603673934936523,5,TON_IoT binary
LightGBM,0.9990812442577766,0.9994273394866267,0.99939367399872,0.999410506459165,0.9999919153328141,0.9999977112590999,76.1240100255236,1.3757009506225586,1,TON_IoT binary
LightGBM,0.998897493109332,0.9991244906892952,0.9994610435544178,0.9992927387848579,0.9999894234284584,0.9999970134684419,77.35421997494996,1.375899314880371,2,TON_IoT binary
LightGBM,0.9988712429452684,0.9989564397764761,0.9995957826658133,0.9992760089572845,0.9999738390105432,0.9999923369650027,75.09789001196623,1.375716209411621,3,TON_IoT binary
LightGBM,0.9989237432733955,0.9989565100309681,0.9996631522215111,0.999309706204226,0.9999718599096561,0.9999925775099237,73.66693001240492,1.3759756088256836,4,TON_IoT binary
LightGBM,0.9990549692865018,0.9994273009028433,0.9993599676615239,0.9993936331480546,0.9999913741948474,0.9999975590184687,76.14904996007681,1.375746726989746,5,TON_IoT binary
